controller01,10.15.241.212,controller
controller02,10.15.241.213,controller
controller03,10.15.241.214,controller
logging01,10.15.241.215,logging
controller04,10.15.241.216,controller
controller05,10.15.241.217,controller
cinder01,10.15.241.218,cinder
cinder02,10.15.241.219,cinder
cinder03,10.15.241.220,cinder
swift01,10.15.241.221,swift
swift02,10.15.241.222,swift
swift03,10.15.241.223,swift
compute01,10.15.241.224,compute
compute02,10.15.241.225,compute
compute03,10.15.241.226,compute
compute04,10.15.241.227,compute
compute05,10.15.241.228,compute
compute06,10.15.241.229,compute
compute07,10.15.241.230,compute
compute08,10.15.241.231,compute
compute09,10.15.241.232,compute
